"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,           0,      -2.258584206,     0.09749584175,      0.1335926574,       3.210775544,       -4.90101496
          0,           0,           1,      -2.342698956,      0.0977417015,      0.1582446456,       3.154054949,      -5.236984998
          0,           0,           2,      -2.819618566,     -0.3448475273,     0.03576166132,       2.642715158,      -5.746060157
          0,           0,           3,      -2.710594902,     -0.4280467031,     -0.3744285452,       2.768080893,      -6.648941332
          0,           0,           4,       -3.15465977,     -0.7780411639,     -0.7133348592,        2.32354239,      -6.878222695
          0,           0,           5,      -3.455149652,     -0.8095322201,      -1.027672078,       2.050981377,      -7.096271274
          0,           0,           6,      -3.680197802,     -0.9437613313,      -1.301876627,       1.825965712,      -7.181795218
          0,           0,           7,      -3.516028374,       -0.99770583,      -1.112083656,       1.961263584,      -7.284410546
          0,           0,           8,      -3.774353964,       -1.09164164,      -1.308586515,       1.702816869,      -7.319157806
          0,           0,           9,      -3.565095632,     -0.9948476024,      -1.213790885,       1.920134204,      -7.391609404
          0,           0,          10,      -3.889313998,      -1.131204583,      -1.479245992,       1.582244323,      -7.404386442
          0,           0,          11,      -3.849653756,      -1.116233421,       -1.61802012,       1.644030449,      -7.458823714
          0,           0,          12,      -4.127396175,      -1.245169574,       -1.68268921,       1.333010596,      -7.458362008
          0,           0,          13,      -4.021565994,      -1.308399298,      -1.458111347,       1.462680202,      -7.502736622
          0,           0,          14,      -4.234614893,      -1.327949527,      -1.612534039,       1.255194577,      -7.497418457
          0,           0,          15,      -4.098115053,      -1.322155773,      -1.567665464,       1.402402208,      -7.537157559
          0,           0,          16,      -4.356080737,      -1.354028278,      -1.772494842,       1.147810271,      -7.528632917
          0,           0,          17,      -4.357208106,       -1.37879055,      -1.847708715,       1.135896618,       -7.56479954
          0,           0,          18,      -4.489115907,      -1.406755269,      -1.928198443,      0.9852627161,      -7.554539085
          0,           0,          19,      -4.324371544,      -1.422681753,      -1.828422323,       1.156486358,      -7.585320494
          0,           0,          20,       -4.50458363,      -1.442930752,      -1.956298838,      0.9714228289,      -7.572708604
          0,           0,          21,      -4.378727914,      -1.442112343,      -1.945878547,       1.117784461,       -7.60077005
          0,           0,          22,       -4.61548648,      -1.472584239,      -2.081093297,      0.8714119572,       -7.58307799
          0,           0,          23,      -4.566272535,      -1.489653082,      -2.060390092,      0.9254516887,      -7.609951673
          0,           0,          24,      -4.744202709,      -1.508052444,      -2.137242948,      0.7341021495,      -7.593503275
          0,           0,          25,      -4.615180139,      -1.526435403,      -2.050169904,      0.8601667063,      -7.616908724
          0,           0,          26,      -4.789406152,      -1.535685827,      -2.156303627,      0.6854492865,      -7.598655059
          0,           0,          27,      -4.680039822,      -1.550333051,      -2.125912954,      0.7942444509,      -7.623016248
          0,           0,          28,       -4.84634278,      -1.559826499,      -2.218900922,       0.625542885,      -7.605175424
          0,           0,          29,      -4.768592238,       -1.57490913,      -2.198123471,      0.7004020615,      -7.627134216
          0,           0,          30,      -4.890766845,      -1.583019916,      -2.264761385,      0.5768638124,      -7.608273671
          0,           0,          31,      -4.794216868,      -1.595729933,      -2.229911719,      0.6774256361,      -7.631037332
          0,           0,          32,      -4.915935345,      -1.604165104,      -2.290565951,      0.5528013585,      -7.613248283
          0,           0,          33,       -4.80810374,      -1.615938697,      -2.249604304,      0.6611650934,      -7.634224766
          0,           0,          34,      -4.935168295,      -1.624545058,      -2.314170238,       0.531408703,      -7.614238871
          0,           0,          35,       -4.80676303,      -1.635668802,      -2.260272655,      0.6575307304,      -7.635732832
          0,           0,          36,      -4.948055818,      -1.643631722,      -2.342110521,       0.516168136,      -7.617881912
          0,           0,          37,      -4.808993742,      -1.653491806,      -2.279982758,      0.6551186395,      -7.638928436
          0,           0,          38,       -4.95920782,      -1.661395932,      -2.368521449,      0.5053107353,      -7.619242151
          0,           0,          39,       -4.82138899,      -1.670951648,        -2.2918692,      0.6440688302,      -7.639325513
          0,           0,          40,      -4.963000703,      -1.678603338,      -2.376790341,      0.5028857446,      -7.620374746
          0,           0,          41,       -4.83353703,       -1.68822926,      -2.290157254,      0.6336403268,      -7.622274978
          0,           0,          42,      -4.848191464,      -1.699711092,       -2.28594542,      0.6211250339,      -7.586893786
          0,           0,          43,      -4.783720716,      -1.719346692,      -2.227563769,       0.689136924,      -7.643986395
          0,           0,          44,      -4.986600128,      -1.726312525,      -2.391660718,      0.4826322515,      -7.625330721
          0,           0,          45,      -4.902246271,      -1.735296447,      -2.325662038,      0.5685218408,      -7.644467015
          0,           0,          46,      -5.012696538,       -1.74087089,      -2.413078978,      0.4562957184,      -7.626753032
          0,           0,          47,      -4.941778674,      -1.750141277,      -2.341808292,      0.5316441562,      -7.627005047
          0,           0,          48,      -4.958351223,      -1.759722889,      -2.345981563,      0.5169857852,      -7.590884111
          0,           0,          49,       -4.88808884,      -1.777245405,      -2.282518093,      0.5917878845,      -7.644795304
          0,           0,          50,      -5.083894988,      -1.781874177,      -2.463032674,      0.3883656695,      -7.626864886
